donation_id,donor_id,donation_date,amount,campaign_id
DON-000001,DNR-07391,2022-11-07,80.95,CMP-0038
DON-000002,DNR-02155,2023-10-22,73.34,CMP-0061
DON-000003,DNR-08067,2025-09-12,35.67,CMP-0036
DON-000004,DNR-09266,2025-09-05,62.86,CMP-0005
DON-000005,DNR-05016,2023-06-24,14.76,CMP-0056
DON-000006,DNR-00143,2024-03-04,88.64,CMP-0018
DON-000007,DNR-06393,2025-01-11,21.33,CMP-0095
DON-000008,DNR-07496,2023-04-15,8159.16,CMP-0027
DON-000009,DNR-08141,2025-09-26,6140.08,CMP-0072
DON-000010,DNR-05762,2024-03-28,44.19,CMP-0075
DON-000011,DNR-01650,2023-10-19,89.74,CMP-0033
DON-000012,DNR-00400,2025-12-08,42.44,CMP-0046
DON-000013,DNR-03246,2025-06-28,18.33,CMP-0056
DON-000014,DNR-00991,2024-11-12,345.8,CMP-0029
DON-000015,DNR-02316,2023-12-18,49.63,CMP-0019
DON-000016,DNR-06507,2022-07-03,3925.4,CMP-0014
DON-000017,DNR-07814,2024-03-23,71.71,CMP-0100
DON-000018,DNR-00931,2024-06-10,15.28,CMP-0030
DON-000019,DNR-09577,2023-10-23,67.12,CMP-0066
DON-000020,DNR-08703,2025-10-09,2375.66,CMP-0059
DON-000021,DNR-09123,2025-07-02,71.71,CMP-0032
DON-000022,DNR-07003,2022-04-29,299.75,CMP-0034
DON-000023,DNR-09338,2024-12-11,234.45,CMP-0040
DON-000024,DNR-09905,2025-12-18,241.74,CMP-0080
DON-000025,DNR-05801,2025-07-19,450.34,CMP-0023
DON-000026,DNR-07351,2025-06-12,11669.67,CMP-0014
DON-000027,DNR-08078,2025-10-20,372.42,CMP-0085
DON-000028,DNR-02355,2024-02-21,311.63,CMP-0017
DON-000029,DNR-02377,2025-12-27,12.13,CMP-0028
DON-000030,DNR-09826,2022-04-11,69.91,CMP-0017
DON-000031,DNR-07796,2025-08-21,46.78,CMP-0035
DON-000032,DNR-00499,2024-09-05,9795.69,CMP-0036
DON-000033,DNR-06381,2024-02-19,18.94,CMP-0021
DON-000034,DNR-09052,2025-05-02,17.15,CMP-0016
DON-000035,DNR-00261,2025-04-08,22.23,CMP-0017
DON-000036,DNR-08715,2025-10-25,52.91,CMP-0084
DON-000037,DNR-04784,2025-12-01,6082.79,CMP-0022
DON-000038,DNR-08617,2024-07-07,93.81,CMP-0054
