donor_id,donation_count,total_donations,average_donation,days_since_last_donation,donations_last_30_days,donations_last_90_days,donations_last_365_days,campaign_count
DNR-00001,5,825.46,165.09,201.0,0,0,1,5
DNR-00002,7,3100.88,442.98,242.0,0,0,1,7
DNR-00003,4,277.99,69.5,410.0,0,0,0,4
DNR-00004,9,3163.94,351.55,153.0,0,0,3,9
DNR-00005,4,2943.12,735.78,164.0,0,0,2,3
DNR-00006,2,8459.68,4229.84,98.0,0,0,2,2
DNR-00007,1,15.21,15.21,871.0,0,0,0,1
DNR-00008,6,3235.52,539.25,308.0,0,0,2,6
DNR-00009,4,14160.33,3540.08,181.0,0,0,1,4
DNR-00010,5,240.32,48.06,51.0,0,1,4,5
DNR-00011,5,302.8,60.56,214.0,0,0,4,5
DNR-00012,5,69462.07,13892.41,12.0,1,1,2,5
DNR-00013,4,787.87,196.97,12.0,1,2,3,4
DNR-00014,6,3011.29,501.88,89.0,0,1,2,6
DNR-00015,3,37493.78,12497.93,47.0,0,1,1,3
DNR-00016,4,270.58,67.64,313.0,0,0,1,4
DNR-00017,5,272.73,54.55,50.0,0,1,1,5
DNR-00018,3,2793.17,931.06,66.0,0,1,1,3
DNR-00019,2,892.54,446.27,369.0,0,0,0,2
DNR-00020,4,1050.67,262.67,381.0,0,0,0,4
DNR-00021,4,302.85,75.71,309.0,0,0,1,4
DNR-00022,5,24610.96,4922.19,375.0,0,0,0,5
DNR-00023,3,112.76,37.59,353.0,0,0,1,3
DNR-00024,5,1201.95,240.39,137.0,0,0,1,5
DNR-00025,3,20319.4,6773.13,696.0,0,0,0,3
DNR-00026,9,857.18,95.24,10.0,1,1,3,9
DNR-00027,3,579.97,193.32,255.0,0,0,2,3
DNR-00028,7,2059.54,294.22,50.0,0,2,4,7
DNR-00029,9,575.61,63.96,97.0,0,0,9,9
DNR-00030,5,35794.4,7158.88,48.0,0,1,1,4
DNR-00031,8,2381.72,297.71,399.0,0,0,0,8
DNR-00032,10,2607.35,260.74,37.0,0,1,5,10
DNR-00033,7,2194.68,313.53,115.0,0,0,3,7
DNR-00034,8,359.67,44.96,65.0,0,1,2,8
DNR-00035,7,420.11,60.02,1019.0,0,0,0,7
DNR-00036,4,574.62,143.66,30.0,1,1,1,4
DNR-00037,2,160.52,80.26,220.0,0,0,1,2
DNR-00038,3,266.19,88.73,108.0,0,0,1,3
DNR-00039,8,1018.62,127.33,10.0,3,3,7,8
DNR-00040,6,30844.76,5140.79,32.0,0,2,2,6
DNR-00041,4,642.84,160.71,375.0,0,0,0,4
DNR-00042,11,2676.87,243.35,43.0,0,1,4,11
DNR-00043,2,464.5,232.25,122.0,0,0,2,2
DNR-00044,5,1188.29,237.66,22.0,1,5,5,5
DNR-00045,6,1728.98,288.16,141.0,0,0,2,6
DNR-00046,8,104996.12,13124.52,17.0,2,3,8,8
DNR-00047,4,300.47,75.12,52.0,0,1,4,4
DNR-00048,3,238.32,79.44,239.0,0,0,1,3
DNR-00049,4,706.51,176.63,112.0,0,0,2,4
DNR-00050,8,684.09,85.51,10.0,2,2,4,8
DNR-00051,2,829.27,414.64,84.0,0,1,1,2
DNR-00052,2,103.64,51.82,15.0,1,2,2,2
DNR-00053,4,396.96,99.24,37.0,0,1,1,4
DNR-00054,3,35638.67,11879.56,45.0,0,1,2,3
DNR-00055,6,3073.8,512.3,194.0,0,0,1,6
DNR-00056,5,340.94,68.19,567.0,0,0,0,4
DNR-00057,4,641.4,160.35,516.0,0,0,0,4
DNR-00058,6,301.5,50.25,25.0,1,1,4,6
DNR-00059,3,118.71,39.57,14.0,1,1,1,3
DNR-00060,10,71996.64,7199.66,17.0,1,2,10,10
DNR-00061,3,1920.47,640.16,672.0,0,0,0,3
DNR-00062,4,453.07,113.27,134.0,0,0,2,4
DNR-00063,4,173.98,43.5,273.0,0,0,1,4
DNR-00064,6,950.41,158.4,38.0,0,1,2,6
DNR-00065,7,1951.37,278.77,228.0,0,0,2,7
DNR-00066,4,1328.26,332.06,120.0,0,0,2,4
DNR-00067,4,278.84,69.71,2.0,2,4,4,4
DNR-00068,3,511.72,170.57,27.0,1,3,3,3
DNR-00069,5,458.22,91.64,368.0,0,0,0,5
DNR-00070,6,38060.49,6343.42,31.0,0,3,6,6
DNR-00071,4,190.69,47.67,102.0,0,0,4,4
DNR-00072,4,2375.14,593.78,132.0,0,0,4,4
DNR-00073,4,2474.85,618.71,42.0,0,1,3,4
DNR-00074,7,1482.72,211.82,298.0,0,0,1,6
DNR-00075,7,525.75,75.11,6.0,2,7,7,6
DNR-00076,5,1709.86,341.97,79.0,0,1,3,4
DNR-00077,1,83.45,83.45,187.0,0,0,1,1
DNR-00078,9,31289.25,3476.58,41.0,0,1,9,9
DNR-00079,6,249.66,41.61,130.0,0,0,3,6
DNR-00080,4,2086.92,521.73,65.0,0,1,2,4
DNR-00081,5,439.41,87.88,4.0,1,2,3,5
DNR-00082,2,2169.91,1084.96,49.0,0,1,2,2
DNR-00083,6,628.85,104.81,60.0,0,1,5,6
DNR-00084,3,17809.52,5936.51,53.0,0,2,3,3
DNR-00085,1,890.01,890.01,123.0,0,0,1,1
DNR-00086,4,201.16,50.29,0.0,2,3,4,3
DNR-00087,10,5795.23,579.52,28.0,1,2,5,10
DNR-00088,3,2215.45,738.48,153.0,0,0,3,3
DNR-00089,7,2762.95,394.71,124.0,0,0,3,7
DNR-00090,3,170.92,56.97,75.0,0,1,2,3
DNR-00091,2,175.6,87.8,51.0,0,1,2,2
DNR-00092,4,252.9,63.22,312.0,0,0,2,4
DNR-00093,6,1575.34,262.56,0.0,2,2,6,6
DNR-00094,5,1043.27,208.65,11.0,1,1,3,5
DNR-00095,6,1430.86,238.48,3.0,1,1,6,6
DNR-00096,6,2642.43,440.4,56.0,0,1,3,6
DNR-00097,4,592.73,148.18,286.0,0,0,1,4
DNR-00098,6,1062.61,177.1,122.0,0,0,1,5
DNR-00099,4,1912.71,478.18,60.0,0,1,4,4
DNR-00100,6,307.44,51.24,96.0,0,0,3,6
DNR-00101,8,1102.71,137.84,73.0,0,1,2,8
DNR-00102,8,34824.99,4353.12,36.0,0,1,2,8
DNR-00103,4,622.25,155.56,491.0,0,0,0,4
DNR-00104,4,25288.35,6322.09,52.0,0,1,4,4
DNR-00105,6,596.35,99.39,91.0,0,0,1,6
DNR-00106,5,1407.27,281.45,132.0,0,0,3,5
DNR-00107,5,2470.21,494.04,141.0,0,0,4,5
DNR-00108,8,516.31,64.54,46.0,0,3,8,7
DNR-00109,6,3297.8,549.63,23.0,1,2,4,6
DNR-00110,4,1895.54,473.88,162.0,0,0,2,4
DNR-00111,1,42.65,42.65,403.0,0,0,0,1
DNR-00112,6,4452.87,742.14,21.0,1,1,6,6
DNR-00113,3,1973.96,657.99,3.0,1,1,2,3
DNR-00114,8,2719.79,339.97,114.0,0,0,4,8
DNR-00115,1,70.18,70.18,299.0,0,0,1,1
DNR-00116,4,3315.08,828.77,198.0,0,0,1,4
DNR-00117,5,2426.72,485.34,20.0,1,1,4,5
DNR-00118,7,2861.09,408.73,57.0,0,3,7,6
DNR-00119,7,1187.49,169.64,97.0,0,0,3,7
DNR-00120,2,333.07,166.54,69.0,0,2,2,2
DNR-00121,3,195.83,65.28,534.0,0,0,0,3
DNR-00122,7,1005.8,143.69,199.0,0,0,1,7
DNR-00123,5,1058.82,211.76,1.0,2,2,3,5
DNR-00124,5,934.32,186.86,56.0,0,2,2,5
DNR-00125,7,41903.05,5986.15,3.0,1,1,2,7
DNR-00126,5,19053.37,3810.67,36.0,0,1,1,5
DNR-00127,6,2961.76,493.63,20.0,1,1,2,6
DNR-00128,7,36555.09,5222.16,73.0,0,1,4,7
DNR-00129,4,1803.75,450.94,77.0,0,1,2,4
DNR-00130,5,28873.98,5774.8,135.0,0,0,3,5
DNR-00131,7,1546.31,220.9,493.0,0,0,0,7
DNR-00132,4,712.14,178.04,67.0,0,1,2,4
DNR-00133,8,939.94,117.49,1.0,1,3,8,8
DNR-00134,2,427.69,213.84,229.0,0,0,1,2
DNR-00135,7,2753.78,393.4,93.0,0,0,5,7
DNR-00136,5,225.3,45.06,224.0,0,0,2,5
DNR-00137,4,518.07,129.52,329.0,0,0,1,4
DNR-00138,8,1984.06,248.01,97.0,0,0,2,8
DNR-00139,3,158.13,52.71,126.0,0,0,3,3
DNR-00140,5,1191.99,238.4,620.0,0,0,0,5
DNR-00141,3,67428.83,22476.28,369.0,0,0,0,3
DNR-00142,7,683.05,97.58,25.0,1,1,3,6
DNR-00143,7,570.32,81.47,161.0,0,0,2,7
DNR-00144,8,2907.22,363.4,148.0,0,0,2,8
DNR-00145,5,106598.5,21319.7,85.0,0,1,5,5
DNR-00146,9,49822.5,5535.83,204.0,0,0,3,9
DNR-00147,8,5123.82,640.48,249.0,0,0,5,8
DNR-00148,3,16240.61,5413.54,85.0,0,1,2,3
DNR-00149,8,3062.24,382.78,16.0,1,2,4,8
DNR-00150,5,298.3,59.66,73.0,0,1,1,5
DNR-00151,0,0.0,0.0,,0,0,0,0
DNR-00152,7,330.11,47.16,39.0,0,1,5,7
DNR-00153,7,654.23,93.46,223.0,0,0,2,7
DNR-00154,2,181.62,90.81,260.0,0,0,1,2
DNR-00155,8,633.01,79.13,71.0,0,1,8,8
DNR-00156,4,305.79,76.45,655.0,0,0,0,4
DNR-00157,3,401.99,134.0,1167.0,0,0,0,3
DNR-00158,5,651.52,130.3,325.0,0,0,1,5
DNR-00159,3,344.06,114.69,236.0,0,0,1,3
DNR-00160,5,342.18,68.44,975.0,0,0,0,5
DNR-00161,6,1803.43,300.57,29.0,1,1,4,6
DNR-00162,5,540.64,108.13,233.0,0,0,1,5
DNR-00163,3,477.3,159.1,3.0,1,3,3,3
DNR-00164,3,187.85,62.62,203.0,0,0,1,3
DNR-00165,8,586.37,73.3,281.0,0,0,2,7
DNR-00166,2,6254.27,3127.14,793.0,0,0,0,2
DNR-00167,8,2355.2,294.4,175.0,0,0,3,8
DNR-00168,6,669.42,111.57,27.0,2,2,6,6
DNR-00169,4,45834.08,11458.52,740.0,0,0,0,4
DNR-00170,9,108264.9,12029.43,51.0,0,2,6,9
DNR-00171,4,2226.9,556.72,4.0,2,4,4,4
DNR-00172,2,158.64,79.32,62.0,0,1,2,2
DNR-00173,5,86697.03,17339.41,87.0,0,1,3,5
DNR-00174,5,621.09,124.22,321.0,0,0,2,5
DNR-00175,4,480.43,120.11,45.0,0,1,3,4
DNR-00176,5,1840.98,368.2,94.0,0,0,5,5
DNR-00177,1,108.61,108.61,140.0,0,0,1,1
DNR-00178,5,817.05,163.41,287.0,0,0,1,5
DNR-00179,4,2287.38,571.84,16.0,4,4,4,4
