donor_id,age_group,location,donor_type,donation_count,total_donations,average_donation,campaign_count,days_since_last_donation,days_since_first_donation,avg_days_between_donations,donations_last_30_days,revenue_last_30_days,donations_last_90_days,revenue_last_90_days,donations_last_365_days,revenue_last_365_days,donor_tenure_days,frequency_velocity_365d,monetary_velocity_365d,short_term_momentum,recency_tenure_ratio
DNR-00001,55-64,CA,Individual,5.0,825.46,165.092,5.0,201.0,920.0,179.75,0.0,0.0,0.0,0.0,1.0,38.1,1002,0.2,0.046156082669057255,0.0,0.20059880239520958
DNR-00002,45-54,TX,Individual,7.0,3100.8799999999997,442.9828571428571,7.0,242.0,1263.0,170.16666666666666,0.0,0.0,0.0,0.0,1.0,53.99,1317,0.14285714285714285,0.01741118650189624,0.0,0.18375094912680334
DNR-00003,35-44,CA,Individual,4.0,277.99,69.4975,4.0,410.0,926.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,962,0.0,0.0,0.0,0.4261954261954262
DNR-00004,55-64,CA,Individual,9.0,3163.94,351.5488888888889,9.0,153.0,718.0,70.625,0.0,0.0,0.0,0.0,3.0,189.74,919,0.3333333333333333,0.05996953165989241,0.0,0.16648531011969533
DNR-00005,45-54,NY,Individual,4.0,2943.12,735.78,3.0,164.0,893.0,243.0,0.0,0.0,0.0,0.0,2.0,509.51,1723,0.5,0.17311900296284216,0.0,0.09518282066163668
DNR-00006,55-64,TX,Corporate,2.0,8459.68,4229.84,2.0,98.0,329.0,231.0,0.0,0.0,0.0,0.0,2.0,8459.68,1635,1.0,1.0,0.0,0.0599388379204893
DNR-00007,25-34,OH,Individual,1.0,15.21,15.21,1.0,871.0,871.0,,0.0,0.0,0.0,0.0,0.0,0.0,994,0.0,0.0,0.0,0.8762575452716298
DNR-00008,18-24,OH,Individual,6.0,3235.52,539.2533333333333,6.0,308.0,1657.0,269.8,0.0,0.0,0.0,0.0,2.0,175.19,1706,0.3333333333333333,0.054145855998417564,0.0,0.18053927315357562
DNR-00009,55-64,IL,Corporate,4.0,14160.33,3540.0825,4.0,181.0,886.0,235.0,0.0,0.0,0.0,0.0,1.0,1588.57,1283,0.25,0.1121845324226201,0.0,0.1410756040530008
DNR-00010,45-54,NC,Individual,5.0,240.32,48.064,5.0,51.0,386.0,83.75,0.0,0.0,1.0,66.52,4.0,221.39999999999998,960,0.8,0.921271637816245,0.8,0.053125
DNR-00011,25-34,IL,Individual,5.0,302.8,60.56,5.0,214.0,412.0,49.5,0.0,0.0,0.0,0.0,4.0,261.09000000000003,471,0.8,0.8622523117569354,0.0,0.4543524416135881
DNR-00012,45-54,NC,Foundation,5.0,69462.07,13892.414,5.0,12.0,1028.0,254.0,1.0,4356.51,1.0,4356.51,2.0,28782.46,1381,0.4,0.4143622555446447,1.3333333333333333,0.008689355539464157
DNR-00013,18-24,MI,Individual,4.0,787.87,196.9675,4.0,12.0,1593.0,527.0,1.0,341.5,2.0,658.4100000000001,3.0,713.21,1702,0.75,0.9052381738104003,2.0,0.007050528789659225
DNR-00014,55-64,TX,Individual,6.0,3011.29,501.88166666666666,6.0,89.0,796.0,141.4,0.0,0.0,1.0,177.56,2.0,277.56,850,0.3333333333333333,0.09217312181822408,1.3333333333333333,0.10470588235294118
DNR-00015,25-34,TX,Foundation,3.0,37493.78,12497.926666666666,3.0,47.0,669.0,311.0,0.0,0.0,1.0,12636.27,1.0,12636.27,1710,0.3333333333333333,0.3370231008983357,2.0,0.027485380116959064
DNR-00016,45-54,FL,Individual,4.0,270.58,67.645,4.0,313.0,1577.0,421.3333333333333,0.0,0.0,0.0,0.0,1.0,84.52,1686,0.25,0.31236602853130313,0.0,0.18564650059311982
DNR-00017,55-64,FL,Individual,5.0,272.73,54.54600000000001,5.0,50.0,811.0,190.25,0.0,0.0,1.0,37.74,1.0,37.74,1000,0.2,0.13837861621383785,2.0,0.05
DNR-00018,45-54,OH,Individual,3.0,2793.17,931.0566666666667,3.0,66.0,606.0,270.0,0.0,0.0,1.0,270.25,1.0,270.25,641,0.3333333333333333,0.09675386746957758,2.0,0.1029641185647426
DNR-00019,35-44,IL,Individual,2.0,892.5400000000001,446.27000000000004,2.0,369.0,461.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,480,0.0,0.0,0.0,0.76875
DNR-00020,35-44,IL,Individual,4.0,1050.6699999999998,262.66749999999996,4.0,381.0,1034.0,217.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1408,0.0,0.0,0.0,0.2705965909090909
DNR-00021,45-54,GA,Individual,4.0,302.85,75.7125,4.0,309.0,930.0,207.0,0.0,0.0,0.0,0.0,1.0,82.34,1016,0.25,0.27188377084365195,0.0,0.30413385826771655
DNR-00022,65+,NY,Corporate,5.0,24610.96,4922.192,5.0,375.0,806.0,107.75,0.0,0.0,0.0,0.0,0.0,0.0,1179,0.0,0.0,0.0,0.31806615776081426
DNR-00023,45-54,CA,Individual,3.0,112.76,37.586666666666666,3.0,353.0,632.0,139.5,0.0,0.0,0.0,0.0,1.0,34.61,888,0.3333333333333333,0.3069350833628946,0.0,0.3975225225225225
DNR-00024,35-44,TX,Individual,5.0,1201.95,240.39000000000001,5.0,137.0,1573.0,359.0,0.0,0.0,0.0,0.0,1.0,21.09,1676,0.2,0.017546486958692126,0.0,0.08174224343675418
DNR-00025,55-64,PA,Corporate,3.0,20319.4,6773.133333333334,3.0,696.0,947.0,125.5,0.0,0.0,0.0,0.0,0.0,0.0,1112,0.0,0.0,0.0,0.6258992805755396
DNR-00026,55-64,CO,Individual,9.0,857.18,95.24222222222221,9.0,10.0,1216.0,150.75,1.0,284.2,1.0,284.2,3.0,413.84,1243,0.3333333333333333,0.4827924123287991,1.0,0.008045052292839904
DNR-00027,65+,WA,Individual,3.0,579.97,193.32333333333335,3.0,255.0,800.0,272.5,0.0,0.0,0.0,0.0,2.0,295.12,1207,0.6666666666666666,0.5088539062365295,0.0,0.2112676056338028
DNR-00028,55-64,IL,Individual,7.0,2059.54,294.21999999999997,7.0,50.0,700.0,108.33333333333333,0.0,0.0,2.0,1636.05,4.0,1755.48,743,0.5714285714285714,0.8523650912339649,1.6,0.06729475100942127
DNR-00029,55-64,IL,Individual,9.0,575.61,63.95666666666667,9.0,97.0,348.0,31.375,0.0,0.0,0.0,0.0,9.0,575.61,468,1.0,1.0,0.0,0.20726495726495728
