donor_id,age_group,location,donor_since,donor_type
DNR-00001,55-64,CA,2023-04-05,Individual
DNR-00002,45-54,TX,2022-05-25,Individual
DNR-00003,35-44,CA,2023-05-15,Individual
DNR-00004,55-64,CA,2023-06-27,Individual
DNR-00005,45-54,NY,2021-04-14,Individual
DNR-00006,55-64,TX,2021-07-11,Corporate
DNR-00007,25-34,OH,2023-04-13,Individual
DNR-00008,18-24,OH,2021-05-01,Individual
DNR-00009,55-64,IL,2022-06-28,Corporate
DNR-00010,45-54,NC,2023-05-17,Individual
DNR-00011,25-34,IL,2024-09-17,Individual
DNR-00012,45-54,NC,2022-03-22,Foundation
DNR-00013,18-24,MI,2021-05-05,Individual
DNR-00014,55-64,TX,2023-09-04,Individual
DNR-00015,25-34,TX,2021-04-27,Foundation
DNR-00016,45-54,FL,2021-05-21,Individual
DNR-00017,55-64,FL,2023-04-07,Individual
DNR-00018,45-54,OH,2024-03-31,Individual
DNR-00019,35-44,IL,2024-09-08,Individual
DNR-00020,35-44,IL,2022-02-23,Individual
DNR-00021,45-54,GA,2023-03-22,Individual
DNR-00022,65+,NY,2022-10-10,Corporate
DNR-00023,45-54,CA,2023-07-28,Individual
DNR-00024,35-44,TX,2021-05-31,Individual
DNR-00025,55-64,PA,2022-12-16,Corporate
DNR-00026,55-64,CO,2022-08-07,Individual
DNR-00027,65+,WA,2022-09-12,Individual
DNR-00028,55-64,IL,2023-12-20,Individual
DNR-00029,55-64,IL,2024-09-20,Individual
DNR-00030,45-54,TX,2021-08-25,Corporate
DNR-00031,25-34,PA,2022-07-12,Individual
DNR-00032,55-64,NC,2022-02-21,Individual
DNR-00033,65+,NY,2023-09-28,Individual
DNR-00034,55-64,NY,2021-07-09,Individual
DNR-00035,25-34,IL,2021-01-08,Individual
DNR-00036,45-54,OH,2021-11-27,Individual
DNR-00037,18-24,CO,2024-02-23,Individual
DNR-00038,55-64,MI,2021-11-02,Individual
DNR-00039,25-34,IL,2024-02-06,Individual
DNR-00040,55-64,NY,2023-01-17,Corporate
DNR-00041,25-34,CA,2023-01-03,Individual
DNR-00042,55-64,OH,2022-12-26,Individual
DNR-00043,65+,FL,2024-06-25,Individual
DNR-00044,55-64,TX,2025-11-06,Individual
DNR-00045,45-54,PA,2023-04-25,Individual
DNR-00046,55-64,CO,2025-05-22,Foundation
DNR-00047,25-34,CO,2025-07-19,Individual
DNR-00048,18-24,GA,2021-08-10,Individual
DNR-00049,65+,PA,2022-04-01,Individual
DNR-00050,55-64,FL,2022-09-18,Individual
DNR-00051,35-44,IL,2021-02-18,Individual
DNR-00052,55-64,PA,2025-11-06,Individual
DNR-00053,45-54,NC,2024-08-06,Individual
DNR-00054,25-34,IL,2022-11-10,Foundation
DNR-00055,65+,NY,2022-01-01,Individual
DNR-00056,35-44,PA,2021-08-11,Individual
DNR-00057,35-44,OH,2023-06-13,Individual
DNR-00058,18-24,OH,2024-03-26,Individual
DNR-00059,55-64,WA,2021-01-04,Individual
DNR-00060,45-54,FL,2025-01-13,Foundation
DNR-00061,65+,PA,2023-01-16,Individual
DNR-00062,55-64,CO,2024-06-30,Individual
DNR-00063,45-54,PA,2022-09-08,Individual
DNR-00064,45-54,FL,2023-04-05,Individual
DNR-00065,35-44,CO,2023-05-12,Individual
DNR-00066,35-44,NC,2021-12-23,Individual
DNR-00067,35-44,OH,2025-09-04,Individual
